"( S) Saksa","Sáksi"
"(+ ill.) joutua jnk naimaksi (vulg.)","dagahallat"
"(+ inf.) olla + -vinaan","dábástit"
"(+ kom.) kutsua (jkta) langoksi, kutsua toisiaan langoksi","mágastallat"
"(+ kom.) loukkaantua (jklle); riitaantua keskenään","veardnašuvvat"
"(+ lok.) hämmästellä","balˈlástallat"
"(+ lok.) pelästyä (jtak)","balˈlát"
"(+ lok.) pelottaa, panna pelkäämään (jtak), pelästyttää","baldit"
"(+ lok.) säikähdellä","balˈlástallat"
"(Jumalan) lahja","láhji"
"(Kosken) nielu","Njiellu; guoikkaoaivvi oalli gokko guoika rohtte"
"(N) (lakisääteinen) maksu; kymmenys, tivunti","divat"
"(N) joutua luovuttamaan kymmenykset (porokarjasta)","diidehallat"
"(N) koe (koulussa)","geahččalupmi"
"(N) lääni","fylka"
"(N) maaherra","ántamánˈni"
"(N) maaherra","fylkkamánˈni"
"(N) ottaa kymmenykset (porokarjasta; myös fig.)","diidet"
"(N) poliisi","buletija"
"(N) porotakavarikko (koskee joka kymmenettä poroa); kymmenykset, murto-osa (esim. rahoista)","diidu"
"(N) veronkanto, verotus","livnnet"
"(N, R) eläkeläinen","pensionista"
"(Ortsname) Sodankylä","Soađegil"
"(R) (poron) parkkinahka, sisna","sasti"
"(R) alus","láivi"
"(R) häpäistä","hehppet"
"(R) hetki","bálli"
"(R) juosta, laukkoa (nelijalkaisista)","guohcat"
"(R) kääntyä (takaisin), palata","moaddut"
"(R) kalastaa","gulˈlet"
"(R) karhu","bierdna"
"(R) kori, marsio, märsiö","mársu"
"(R) kuri, kurinpito","goksa"
"(R) luottaa","luohtidit"
"(R) oikeus","njuolgatvuohta"
"(R) pienentää, vähentää","binnudit"
"(R) pienetä, pienentyä, vähetä, vähentyä","binˈnut"
"(R) pohjoisessa asuva saamelainen","nuorttut"
"(R) pohjoistuuli","nuortu"
"(R) rintaläppä (vaate)","liehppá"
"(R) ripustella","gohcut"
"(R) sukulainen","sogolaš"
"(R) sydän","cohki"
"(R) terva","darvi"
"(R) tervata","darvat"
"(R) tyytyväinen","duhttivaš"
"(R) vähän","binnoš"
"(S) (tuli)tikku","dihkku"
"(S) huolestua","fuolastuvvat"
"(S) lanttu","lánto"
"(S) lukio","logahat"
"(S) nostoväki","noastoveahka"
"(S) paliskunta","bálges"
"(S) putka","butká"
"(S, R) poliisi","boliisa"
"(S, R) pulla","bulˈlá"
"(SSS vain yhdyssanoissa)","borran"
"(SSS vain yhdyssanoissa)","spierta"
"(Vedenpohjan) kaade","Earti; gokko čiekŋu fávlái dehe gáddái"
"(Verkon) paino","Gikta; vuollereašmái giddejuvvon deaddu"
"(aaltomainen, pieni) kinos, polanne","časttas"
"(aamun)koi, koite, sarastus","guovssu"
"(äänekäs) nauru","čaimmas"
"(äänestä:) heleä, kirkas; soinnillinen","čuoddjil"
"(äänestä:) kimakka, kimeä, vihlova","biškat"
"(adj.) hiljaa, rauhallisesti virtaava, hiljainen, rauhallinen (virta); (s.) seisova vesi (joessa)","doažži"
"(adj.) käyrä","geavrái"
"(adj.) pöhötystä aiheuttava; (subst.) vihat (pl.; maan-, ilmanvihoista tms.)","bostta"
"(adv.) huonona, heikkona, kompuralla (jaloista)","boalčut"
"(adv.) lakkaamatta; (adj.) lakkaamaton, loputon","heaittekeahttái"
"(adv.) taikaa; das ii leat d.: siitä ei ole taikaa","dáigá"
"(ahkera ja taitava) veistäjä; veistokirves","fearan"
"(ahkion jalaksen alla tai reen emäpuuhun kiinnitetty puinen) talka, tilka, antura; paikka (ahkiossa), pohjaus, (uusi) pohja (vanhassa nutukkaassa), (veneen) köli","gieggi"
"(ahkion) kaari","fierra"
"(ahkion) kannas, kanta","maŋáš"
"(ahkion) liiste","láitta"
"(ahkion) vetohihna, vuottoraippa","vuohtaráipi"
"(aho)matara","máđir"
"(aikaansaapa) teurastaja","njuovan"
"(aikuisen töihin kykenemätön) lapsi, nulikka","mánnálaš"
"(aitan) luhti","leapma"
"(aivan) uutena, uutukaisena","ođasnaga"
"(aivan, vielä) märkänä; (ruoasta:) (aivan, vielä) raakana","njuoskkasnaga"
"(ajasta:) hujahtaa, kulua (nopeasti, hujauksessa)","golihit"
"(ajasta:) mennä (nopeasti), kulahtaa","manihit"
"(ajasta:) sopimaton","áiggeheapme"
"(ajokkaasta:) poukkoileva","spihkodahkes"
"(ajoporosta:) ruveta (vaivoin) oiustumaan","rievttastuvvat"
"(akk.) ikinä, ikipäivänä; (ill.) eliniäksi, iäksi; (lok.) ikänään","agibeaivi"
"(alituinen) nyyhkyttäjä","hiŋkkan"
"(alituiseen) maleksiva","joltálas"
"(alkaa) haaleta","loikkiidit"
"(alkaa) sulaa (jäättömäksi; astioista)","salggiidit"
"(arpa)kannus, noitarumpu","goavddis"
"(asennosta:) köyryssä, köyryyn","guvrut"
